gene_idx,frame,action_id,action_name,mario_x,mario_y,vel_x,vel_y,float_state,on_ground,delta_x
329,1316,0,NOOP,1579,176,22,0,0,1,6
330,1320,9,Right+Jump+Run,1584,160,24,-4,1,0,5
331,1324,10,Left+Jump+Run,1590,147,22,-4,1,0,6
332,1328,7,Right+Run,1596,143,24,1,1,0,6
333,1332,9,Right+Jump+Run,1602,151,24,2,1,0,6
334,1336,7,Right+Run,1608,165,24,4,1,0,6
335,1340,1,Right,1614,176,24,0,0,1,6
336,1344,6,Run,1620,176,21,0,0,1,6
337,1348,3,Jump,1625,160,21,-4,1,0,5
338,1352,4,Right+Jump,1631,147,24,-4,1,0,6
339,1356,9,Right+Jump+Run,1637,135,24,-3,1,0,6
340,1360,9,Right+Jump+Run,1643,126,24,-3,1,0,6
341,1364,11,Down,1649,119,24,-1,1,0,6
342,1368,1,Right,1655,119,24,0,1,0,6
343,1372,1,Right,1661,125,24,2,1,0,6
344,1376,1,Right,1667,137,24,3,1,0,6
345,1380,3,Jump,1673,153,24,4,1,0,6
346,1384,1,Right,1679,170,24,4,1,0,6
347,1388,1,Right,1685,176,24,0,0,1,6
348,1392,1,Right,1691,176,24,0,0,1,6
349,1396,2,Left,1696,176,19,0,0,1,5
350,1400,1,Right,1701,176,22,0,0,1,5
351,1404,7,Right+Run,1707,176,26,0,0,1,6
352,1408,9,Right+Jump+Run,1714,156,30,-5,1,0,7
353,1412,7,Right+Run,1722,142,33,-3,1,0,8
354,1416,9,Right+Jump+Run,1731,137,37,0,1,0,9
355,1420,9,Right+Jump+Run,1741,141,40,2,1,0,10
356,1424,8,Left+Run,1750,154,37,4,1,0,9
357,1428,5,Left+Jump,1759,170,33,4,1,0,9
358,1432,2,Left,1767,176,29,0,0,1,8
359,1436,7,Right+Run,1775,176,34,0,0,1,8
360,1440,8,Left+Run,1782,176,28,0,0,1,7
361,1444,9,Right+Jump+Run,1790,156,35,-5,1,0,8
362,1448,4,Right+Jump,1800,140,40,-4,1,0,10
363,1452,1,Right,1810,128,40,-2,1,0,10
364,1456,10,Left+Jump+Run,1819,126,33,0,1,0,9
365,1460,5,Left+Jump,1826,132,26,3,1,0,7
366,1464,9,Right+Jump+Run,1834,147,33,4,1,0,8
367,1468,5,Left+Jump,1841,163,26,4,1,0,7
368,1472,10,Left+Jump+Run,1847,176,19,0,0,1,6
369,1476,2,Left,1850,176,13,0,0,1,3
370,1480,9,Right+Jump+Run,1855,160,19,-4,1,0,5
371,1484,4,Right+Jump,1860,147,24,-3,1,0,5
372,1488,11,Down,1866,138,24,-2,1,0,6
373,1492,9,Right+Jump+Run,1872,135,24,0,1,0,6
374,1496,9,Right+Jump+Run,1878,140,24,2,1,0,6
375,1500,9,Right+Jump+Run,1884,152,24,4,1,0,6
376,1504,9,Right+Jump+Run,1890,168,24,4,1,0,6
377,1508,9,Right+Jump+Run,1897,176,27,0,0,1,7
378,1512,9,Right+Jump+Run,1904,176,30,0,0,1,7
379,1516,9,Right+Jump+Run,1912,176,34,0,0,1,8
380,1520,7,Right+Run,1921,176,37,0,0,1,9
381,1524,7,Right+Run,1931,176,40,0,0,1,10
382,1528,3,Jump,1941,156,40,-5,1,0,10
383,1532,11,Down,1951,142,40,-3,1,0,10
384,1536,7,Right+Run,1961,137,40,0,1,0,10
385,1540,5,Left+Jump,1970,141,36,2,1,0,9
386,1544,1,Right,1980,154,40,4,1,0,10
387,1548,9,Right+Jump+Run,1990,170,40,4,1,0,10
388,1552,4,Right+Jump,1998,176,24,0,0,1,8
389,1556,4,Right+Jump,2004,176,24,0,0,1,6
390,1560,1,Right,2010,176,24,0,0,1,6
391,1564,9,Right+Jump+Run,2016,160,24,-4,1,0,6
392,1568,6,Run,2022,148,24,-3,1,0,6
