episode_id,timestamp,start_time,end_time,duration,max_x_reached,level_progress_percent,level_completed,lives_used,deaths,death_causes,total_reward,avg_reward_per_frame,distance_reward,completion_reward,powerup_reward,enemy_reward,score_reward,coin_reward,death_penalty,movement_penalty,stuck_penalty,score,coins_collected,enemies_killed,powerups_collected,time_remaining,frames_processed,actions_taken,avg_fps,sync_quality,status,termination_reason,curriculum_phase
47,2026-03-25T18:29:50.698306,1774481390.698306,1774481404.4354234,13.737117290496826,127,4.008838383838384,False,0,0,,49.59999999999944,0.060121212121211444,12.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,825,0,60.05626817867568,1.0,terminated,stuck_timeout,exploration
48,2026-03-25T18:30:05.419939,1774481405.419939,1774481414.8177671,9.397828102111816,67,2.11489898989899,False,0,0,,-7.999999999999923,-0.014260249554367064,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,561,0,59.69464368835772,1.0,terminated,stuck_timeout,exploration
49,2026-03-25T18:30:15.667388,1774481415.667388,1774481446.2184339,30.551045894622803,435,13.731060606060606,False,0,0,,359.8999999999925,0.1961307901907316,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1835,0,60.06341014737478,1.0,terminated,stuck_timeout,exploration
50,2026-03-25T18:30:47.584656,1774481447.5846555,1774481457.1648636,9.58020806312561,105,3.3143939393939394,False,0,0,,37.09999999999965,0.06497373029772269,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,571,0,59.602045825892766,1.0,terminated,stuck_timeout,exploration
51,2026-03-25T18:30:58.072802,1774481458.0728023,1774481463.186575,5.113772630691528,40,1.2626262626262625,False,0,0,,-22.50000000000008,-0.07450331125827842,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,59.05620406106342,1.0,terminated,stuck_timeout,exploration
52,2026-03-25T18:31:03.692533,1774481463.6925333,1774481468.8594282,5.166894912719727,40,1.2626262626262625,False,0,0,,-23.00000000000009,-0.07615894039735129,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,58.44903082053097,1.0,terminated,stuck_timeout,exploration
53,2026-03-25T18:31:09.369817,1774481469.369817,1774481477.4034734,8.033656358718872,109,3.4406565656565657,False,0,0,,53.89999999999991,0.11205821205821188,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,481,0,59.87311113674585,1.0,terminated,stuck_timeout,exploration
54,2026-03-25T18:31:17.909391,1774481477.909391,1774481483.010394,5.101003170013428,40,1.2626262626262625,False,0,0,,-24.000000000000117,-0.07947019867549708,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,59.20404083952079,1.0,terminated,stuck_timeout,exploration
55,2026-03-25T18:31:23.515507,1774481483.5155067,1774481488.5819354,5.0664286613464355,40,1.2626262626262625,False,0,0,,-21.30000000000009,-0.07052980132450361,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,59.60806323082453,1.0,terminated,stuck_timeout,exploration
56,2026-03-25T18:31:29.092882,1774481489.0928822,1774481496.6766293,7.583747148513794,61,1.9255050505050504,False,0,0,,-0.7000000000000286,-0.00154185022026438,6.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,454,0,59.86486510022576,1.0,terminated,stuck_timeout,exploration
